,x,yhat,y
0,"[0.0, 0.6085262641416045, 0.7480881737346763, 1.0]",[0],[0]
1,"[0.0, 0.3681525037445185, 0.7953418570816608, 1.0]",[0],[0]
2,"[0.0, 0.32864162818317527, 0.599539214238456, 1.0]",[0],[0]
3,"[1.0, 0.24246374827201864, 0.38462587697988376, 1.0]",[0],[0]
4,"[0.0, 0.5443658254142807, 0.7395646379058345, 1.0]",[0],[0]
5,"[0.0, 0.22727197649393763, 0.6793260287669168, 1.0]",[0],[0]
6,"[1.0, 0.09492883302063283, 0.15094330224929234, 1.0]",[0],[0]
7,"[0.0, 0.35503874454481527, 0.4659637876277732, 1.0]",[0],[0]
8,"[0.0, 0.43599725122482624, 0.4203980720666119, 1.0]",[0],[0]
9,"[0.0, 0.5472900849109155, 0.5859512741059371, 1.0]",[0],[0]
10,"[0.0, 0.0, 0.5578239840535443, 1.0]",[0],[0]
11,"[0.0, 0.0, 0.5033786029150982, 1.0]",[0],[0]
12,"[0.0, 0.41291273747580853, 0.7042787735155367, 1.0]",[0],[0]
13,"[0.0, 0.0, 0.66607566922137, 1.0]",[0],[0]
14,"[0.0, 0.5709954971953642, 0.6583546672155901, 1.0]",[0],[1]
15,"[1.0, 0.6566221279052257, 0.2689179853549735, 1.0]",[0],[0]
16,"[0.0, 0.22703453617462657, 0.33805601007462516, 1.0]",[0],[0]
17,"[1.0, 0.35364361155175583, 0.24294972289448458, 1.0]",[0],[0]
18,"[0.0, 0.555282005784364, 0.44087846016964516, 1.0]",[0],[0]
19,"[1.0, 0.5979427562236128, 0.3441431425004882, 1.0]",[0],[0]
20,"[0.0, 0.41859515721498347, 0.36677789112445125, 1.0]",[0],[0]
21,"[1.0, 0.06762703942732844, 0.25072492642804356, 1.0]",[0],[0]
22,"[1.0, 0.21272423484070158, 0.32384349141987, 1.0]",[0],[0]
23,"[1.0, 0.16465038565832552, 0.2128161259697523, 1.0]",[0],[0]
24,"[1.0, 0.29175573613476286, 0.15825141631208453, 1.0]",[0],[0]
25,"[1.0, 0.4806590715596581, 0.12145809606233594, 1.0]",[0],[0]
26,"[0.0, 0.45034459368588814, 0.5679322542785856, 1.0]",[0],[0]
27,"[0.0, 0.568446876669296, 0.42547870504890317, 1.0]",[0],[0]
28,"[1.0, 0.5870491571330402, 0.09058336229020161, 1.0]",[0],[0]
29,"[1.0, 0.3623515202321061, 0.17335406567813405, 1.0]",[0],[0]
30,"[0.0, 0.3666029039192409, 0.3643374290404617, 1.0]",[0],[0]
31,"[0.0, 0.35572324733148786, 0.5648552725766713, 1.0]",[0],[0]
32,"[1.0, 0.05233211308074261, 0.16808940050258547, 1.0]",[0],[0]
33,"[0.0, 0.4007473961974093, 0.49054711175290294, 1.0]",[0],[0]
34,"[1.0, 0.5043319418310218, 0.10038445822266916, 1.0]",[0],[0]
35,"[0.0, 0.03105408911686098, 0.3983055005730555, 1.0]",[0],[0]
36,"[0.0, 0.1213121675984268, 0.5908372585725494, 1.0]",[0],[0]
37,"[0.0, 0.08699629377676664, 0.4859348974113209, 1.0]",[0],[0]
38,"[0.0, 0.2859608200461616, 0.6183156753108184, 1.0]",[0],[0]
39,"[1.0, 0.4138359278303482, 0.22073017953625546, 1.0]",[0],[0]
40,"[1.0, 0.6554733880996083, 0.28607305502449126, 1.0]",[0],[0]
41,"[0.0, 0.5174702748713689, 0.7708796468007714, 1.0]",[0],[0]
42,"[1.0, 0.06159891521037193, 0.23046491797148297, 1.0]",[0],[0]
43,"[0.0, 0.3819831244957169, 0.45883235987535953, 1.0]",[0],[0]
44,"[1.0, 0.4798785010221003, 0.25917980940653657, 1.0]",[0],[0]
45,"[0.0, 0.40203818316918843, 0.7312737822473706, 1.0]",[0],[0]
46,"[1.0, 0.292581798467889, 0.054728777929980654, 1.0]",[0],[0]
47,"[1.0, 0.3046889549945944, 0.12370614697511878, 1.0]",[0],[0]
48,"[0.0, 0.19313908661115195, 0.533917529073369, 1.0]",[0],[0]
49,"[0.0, 0.0, 0.4654568597434958, 1.0]",[0],[0]
50,"[1.0, 0.27045525302422774, 0.3109940560512644, 1.0]",[0],[0]
51,"[0.0, 0.3792755993949697, 0.6459313988489539, 1.0]",[0],[0]
52,"[0.0, 0.824023751211164, 0.5692754255712756, 1.0]",[1],[1]
53,"[0.0, 0.7960671555543443, 0.4668141021837264, 1.0]",[1],[0]
54,"[0.0, 0.13409452031876926, 0.43071411941757654, 1.0]",[0],[0]
55,"[1.0, 0.443898160552736, 0.3928242213661481, 1.0]",[0],[0]
56,"[0.0, 0.3392833679081815, 0.5506385880719417, 1.0]",[0],[0]
57,"[0.0, 0.607957046589201, 0.6372382274657737, 1.0]",[0],[0]
58,"[0.0, 0.07067615077994951, 0.809112339209257, 1.0]",[0],[0]
59,"[1.0, 0.19914146587886308, 0.2589870113416312, 1.0]",[0],[0]
60,"[1.0, 0.6628479676541017, 0.14817094090736904, 1.0]",[0],[0]
61,"[0.0, 0.26444342633658857, 0.7196779661366153, 1.0]",[0],[0]
62,"[0.0, 0.16737412031867524, 0.4829798947369348, 1.0]",[0],[0]
63,"[0.0, 0.0, 0.6339295661119351, 1.0]",[0],[0]
64,"[0.0, 0.0, 0.644356641745881, 1.0]",[0],[0]
65,"[0.0, 0.0, 0.46925438936247127, 1.0]",[0],[0]
66,"[0.0, 0.48280516452194766, 0.5068999408026517, 1.0]",[0],[0]
67,"[0.0, 0.6582692314033198, 0.5090157742185193, 1.0]",[0],[0]
68,"[1.0, 0.5513036652859332, 0.14848660736480543, 1.0]",[0],[0]
69,"[0.0, 0.11220875122451582, 0.46408963149158017, 1.0]",[0],[0]
70,"[0.0, 0.47896535089411074, 0.5922712790567284, 1.0]",[0],[0]
71,"[0.0, 0.376126877014514, 0.5167924243956925, 1.0]",[0],[0]
72,"[0.0, 0.40241768640255876, 0.372177156533948, 1.0]",[0],[0]
73,"[0.0, 0.26433593552044593, 0.5848808376586085, 1.0]",[0],[0]
74,"[0.0, 0.39962318468409097, 0.6680858818528527, 1.0]",[0],[0]
75,"[0.0, 0.2914766104524893, 0.5448549008571636, 1.0]",[0],[0]
76,"[0.0, 0.35243088340442913, 0.4140838824060636, 1.0]",[0],[0]
77,"[0.0, 0.38360871026250126, 0.537511916211914, 1.0]",[0],[0]
78,"[0.0, 0.3395248374664768, 0.6606483406569497, 1.0]",[0],[0]
79,"[0.0, 0.3150306116373099, 0.583977113800831, 1.0]",[0],[0]
80,"[0.0, 0.09186574778242024, 0.6378191158120263, 1.0]",[0],[0]
81,"[0.0, 0.3871294846719489, 0.6565626810961819, 1.0]",[0],[0]
82,"[1.0, 0.10234999414027514, 0.18285754365696064, 1.0]",[0],[0]
83,"[0.0, 0.3193933453550222, 0.5691170698251612, 1.0]",[0],[0]
84,"[0.0, 0.27131778375832194, 0.5891855956471481, 1.0]",[0],[0]
85,"[1.0, 0.4287173579764632, 0.2931893889901373, 1.0]",[0],[0]
86,"[1.0, 0.5376603619710162, 0.16187898076346013, 1.0]",[0],[0]
87,"[0.0, 0.0, 0.4130741529174045, 1.0]",[0],[0]
88,"[0.0, 0.31407459923589937, 0.2217134929745259, 1.0]",[0],[0]
89,"[0.0, 0.1704268789295789, 0.3913440037766111, 1.0]",[0],[0]
90,"[1.0, 0.4174524709313251, 0.13851263221695786, 1.0]",[0],[0]
91,"[0.0, 0.34326350012554013, 0.4189653847368624, 1.0]",[0],[0]
92,"[0.0, 0.09451736792220237, 0.6992123637782769, 1.0]",[0],[0]
93,"[0.0, 0.0, 0.3179094754143603, 1.0]",[0],[0]
94,"[1.0, 0.056005662629002174, 0.2043603511531266, 1.0]",[0],[0]
95,"[0.0, 0.3344519686592908, 0.5867764215421173, 1.0]",[0],[0]
96,"[1.0, 0.34398473801023044, 0.22488461574126495, 1.0]",[0],[0]
97,"[0.0, 0.32962897155420945, 0.5363354851253925, 1.0]",[0],[0]
98,"[0.0, 0.2880338372633425, 0.547129403969251, 1.0]",[0],[0]
99,"[0.0, 0.23343639932933308, 0.6140415209312269, 1.0]",[0],[0]
100,"[0.0, 0.212452597509761, 0.646691182697595, 1.0]",[0],[0]
101,"[0.0, 0.24067061836270195, 0.6310983834355194, 1.0]",[0],[0]
102,"[0.0, 0.0051536248056988235, 0.33592894754969704, 1.0]",[0],[0]
103,"[1.0, 0.2143581030974134, 0.22697626661786477, 1.0]",[0],[0]
104,"[0.0, 0.0, 0.5149333323687079, 1.0]",[0],[0]
105,"[0.0, 0.3079766356174789, 0.4424492598526385, 1.0]",[0],[0]
106,"[0.0, 0.1129819849371616, 0.4691831650065775, 1.0]",[0],[0]
107,"[0.0, 0.3311307921076131, 0.6382924838727101, 1.0]",[0],[0]
108,"[0.0, 0.17098523073406582, 0.37225163003298806, 1.0]",[0],[0]
109,"[1.0, 0.2200490753765868, 0.32518982983023015, 1.0]",[0],[0]
110,"[0.0, 0.12407975288230379, 0.27392689385954033, 1.0]",[0],[0]
111,"[0.0, 0.1695156896408811, 0.5250600091380607, 1.0]",[0],[0]
112,"[1.0, 0.03744178019228059, 0.2191918205855614, 1.0]",[0],[0]
113,"[1.0, 0.48541521352753625, 0.28090627056101686, 1.0]",[0],[0]
114,"[1.0, 0.21231129411152627, 0.3202713101027967, 1.0]",[0],[0]
115,"[0.0, 0.3794859012644739, 0.609380214273513, 1.0]",[0],[0]
116,"[1.0, 0.22484325499705204, 0.22842621529537116, 1.0]",[0],[0]
117,"[1.0, 0.2880309927710911, 0.2996151289014787, 1.0]",[0],[0]
